"state","mean_dist"
"Alabama",561.668826232109
"Alaska",1209.66161396383
"Arizona",1309.86289186073
"Arkansas",548.458987915408
"California",1494.93698983013
"Colorado",1402.14379400004
"Connecticut",1230.75126730079
"District of Columbia",1183.45110279982
"Florida",1392.28418923571
"Georgia",1062.37387524753
"Hawaii",2807.36871407397
"Idaho",826.619752292102
"Illinois",1274.25382039
"Indiana",782.736982570806
"Iowa",525.15790352195
"Kansas",745.795599489796
"Kentucky",617.99385061298
"Louisiana",940.252046638551
"Maine",1044.16272742731
"Maryland",1134.24887060886
"Massachusetts",1519.84235006356
"Michigan",926.844740790939
"Minnesota",1265.86351294689
"Mississippi",632.267318745588
"Missouri",1064.36698794442
"Montana",923.714768122467
"Nebraska",872.792677972987
"Nevada",1200.3646416835
"New Hampshire",830.407762658934
"New Jersey",1732.85854550497
"New Mexico",974.705821898783
"New York",1322.60173824374
"North Carolina",780.666407831609
"North Dakota",503.781518499036
"Ohio",1057.06796650288
"Oklahoma",702.015680065376
"Oregon",1446.02942116507
"Pennsylvania",1070.57894464004
"Rhode Island",1021.97460592004
"South Carolina",363.23519087319
"South Dakota",573.312153518124
"Tennessee",949.30985915493
"Texas",1178.95137044789
"Utah",1326.5556435239
"Vermont",772.067562228368
"Virginia",704.986842105263
"Washington",1699.13415107188
"West Virginia",280.746835443038
"Wisconsin",640.07289014187
"Wyoming",1019.68912529551
