"state","mean_airvel(Km/h)"
"Alabama",618.561357415578
"Alaska",634.161416834148
"Arizona",656.17349898828
"Arkansas",579.69079524848
"California",639.322182663078
"Colorado",694.854772640716
"Connecticut",699.584415944184
"District of Columbia",679.827804221233
"Florida",680.953117503535
"Georgia",652.567242072407
"Hawaii",787.049456483312
"Idaho",668.221505869132
"Illinois",635.900700435728
"Indiana",621.453269371981
"Iowa",605.929451950391
"Kansas",622.838457945305
"Kentucky",594.458895246795
"Louisiana",649.730236917655
"Maine",611.372746656322
"Maryland",645.961807392236
"Massachusetts",665.030592204664
"Michigan",592.045256036463
"Minnesota",644.003859268047
"Mississippi",646.413516508421
"Missouri",643.139083524045
"Montana",648.629503727715
"Nebraska",665.175006930891
"Nevada",633.441853674116
"New Hampshire",711.939396207803
"New Jersey",710.523778660224
"New Mexico",685.267654920084
"New York",651.051155402312
"North Carolina",612.978358256938
"North Dakota",563.148737350591
"Ohio",647.372428367671
"Oklahoma",611.132318765249
"Oregon",681.839431809041
"Pennsylvania",637.91906283202
"Rhode Island",679.246421458577
"South Carolina",583.996608586294
"South Dakota",555.136020465641
"Tennessee",642.335397906125
"Texas",621.433441750231
"Utah",687.506146245006
"Vermont",681.231058416251
"Virginia",655.342014136549
"Washington",682.095910333222
"Wisconsin",560.961469534681
"Wyoming",640.125322836453
