"state","Dist_from","Dist_to"
"Alabama",660.975808943628,659.506354249404
"Alaska",1208.6794522446,1211.64878138763
"Arizona",1402.81604864127,1399.80014909081
"Arkansas",577.232216369351,577.008040645019
"California",1461.56809035912,1458.53207576929
"Colorado",1425.42833153137,1427.69517266733
"Connecticut",1189.56563149567,1182.62510061297
"District of Columbia",1265.42209799763,1262.52962231991
"Florida",1331.40936520181,1329.91255232596
"Georgia",1083.73825148816,1102.87299866183
"Hawaii",4556.50173305301,4556.00045387496
"Idaho",906.246315789474,907.221359400694
"Illinois",1182.19161827754,1186.50179472784
"Indiana",766.281467181467,769.724075297226
"Iowa",598.453777300394,590.364947864591
"Kansas",618.515799432356,618.854552323385
"Kentucky",653.924591515901,651.170097786927
"Louisiana",947.736197700194,954.004941599281
"Maine",681.46755308593,666.387106328364
"Maryland",1086.57478769756,1089.73160208496
"Massachusetts",1294.78724940457,1297.86037980147
"Michigan",931.22055014029,922.001705132512
"Minnesota",1283.76627297136,1289.27811858093
"Mississippi",717.557077041208,717.336570406338
"Missouri",1102.89448851884,1099.98511526118
"Montana",912.769987418506,922.449618768328
"Nebraska",893.252064220183,892.817614384699
"Nevada",1279.93205856302,1269.94773439838
"New Hampshire",1033.30052537075,1034.19410710731
"New Jersey",1764.08606072957,1767.23984518232
"New Mexico",1009.49796940195,1011.77073482784
"New York",1246.93606213784,1245.25251030755
"North Carolina",842.511283066403,845.278364496076
"North Dakota",505.999827258594,506.127304048234
"Ohio",1077.38428166529,1075.6232773766
"Oklahoma",663.530889650708,662.467609882218
"Oregon",1509.81571031489,1493.91919864538
"Pennsylvania",1136.33338512936,1135.57059594552
"Rhode Island",1031.28664882545,1030.38555782439
"South Carolina",479.143907563025,479.958015267176
"South Dakota",494.529677613739,494.350977443609
"Tennessee",992.934195642552,993.231380025354
"Texas",1083.89181369863,1084.38696028811
"Utah",1377.02356549929,1374.99120799536
"Vermont",858.619779485466,837.490522115065
"Virginia",807.218147917961,807.076336351234
"Washington",1766.48489378932,1763.32237428276
"Wisconsin",555.322496125175,555.70660335689
"Wyoming",1092.49298409729,1094.65759849906
