"State","min","mean","max"
"Alabama",-30,5.32667410714286,589
"Alaska",-61,9.32282636633409,1287
"Arizona",-38,9.48033188837031,1435
"Arkansas",-30,5.43337573541104,813
"California",-67,8.28768102026523,1592
"Colorado",-24,10.8645425710111,1377
"Connecticut",-28,6.14528566421311,1084
"Delaware",0,0,0
"District of Columbia",-56,6.42922655553188,1204
"Florida",-46,7.9763607453011,1561
"Georgia",-30,9.6630200933631,1248
"Hawaii",-63,4.72557178780984,1692
"Idaho",-24,6.63496491673007,503
"Illinois",-43,11.3970863600749,1477
"Indiana",-34,6.46116435416965,1373
"Iowa",-30,5.34558601988551,717
"Kansas",-35,4.09171402140875,597
"Kentucky",-31,4.6966473791695,661
"Louisiana",-28,6.17256319940152,1057
"Maine",-21,10.439586836416,627
"Maryland",-31,9.03711416730242,1345
"Massachusetts",-44,10.6696230050892,1032
"Michigan",-39,7.89288567693202,814
"Minnesota",-34,7.27120251372926,1183
"Mississippi",-45,5.2707136997539,503
"Missouri",-26,7.08933315322617,1086
"Montana",-40,1.60864707853871,1270
"Nebraska",-22,6.77729680179263,1148
"Nevada",-204,9.6657645039998,1185
"New Hampshire",-51,6.4849771601364,550
"New Jersey",-36,7.98786401216298,842
"New Mexico",-30,7.1608364055948,576
"New York",-44,8.97096327210643,1373
"North Carolina",-54,6.33158030045605,1110
"North Dakota",-20,1.09378337961974,1414
"Ohio",-75,5.80637116450128,1099
"Oklahoma",-39,6.13579811170917,972
"Oregon",-18,7.40756857701591,1302
"Pennsylvania",-45,7.72357748542501,929
"Rhode Island",-19,6.54624781849913,809
"South Carolina",-41,3.46829502426537,1366
"South Dakota",-15,1.74917335852622,909
"Tennessee",-60,6.11837142414274,1103
"Texas",-43,7.86722390720215,1279
"Utah",-46,7.61778103139743,1247
"Vermont",-69,8.13842079922966,419
"Virginia",-29,5.94493314088074,1095
"Washington",-33,9.85305905302359,1321
"West Virginia",-10,2.86170212765957,161
"Wisconsin",-41,4.07556410704915,958
"Wyoming",-19,13.7481012658228,1022
